sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_ii_marine	ganon2	superkingdom	49.4512	97.7484	100.00	100.00	100.00	2	0	0
cami_ii_marine	ganon2	phylum	49.5427	97.9292	100.00	100.00	100.00	2	0	0
cami_ii_marine	ganon2	class	49.5427	97.9292	100.00	50.00	66.67	2	0	2
cami_ii_marine	ganon2	order	50.4295	99.6823	50.00	20.00	28.57	1	1	4
cami_ii_marine	ganon2	family	50.5903	100.0000	0.00	0.00	0.00	0	2	5
cami_ii_marine	ganon2	genus	50.5902	100.0000	0.00	0.00	0.00	0	2	10
cami_ii_marine	ganon2	species	50.5902	100.0000	0.00	0.00	0.00	0	2	11
cami_ii_marine	hymet	superkingdom	51.4519	34.3016	66.67	100.00	80.00	2	1	0
cami_ii_marine	hymet	phylum	1.4534	1.4534	100.00	100.00	100.00	2	0	0
cami_ii_marine	hymet	class	3.6772	3.6772	100.00	100.00	100.00	4	0	0
cami_ii_marine	hymet	order	6.9409	6.9409	100.00	100.00	100.00	5	0	0
cami_ii_marine	hymet	family	6.9409	6.9409	100.00	100.00	100.00	5	0	0
cami_ii_marine	hymet	genus	16.1498	16.1498	90.00	90.00	90.00	9	1	1
cami_ii_marine	hymet	species	18.4221	18.4221	60.00	81.82	69.23	9	6	2
cami_ii_marine	hymet_reads	superkingdom	54.9379	36.6646	40.00	100.00	57.14	2	3	0
cami_ii_marine	hymet_reads	phylum	5.1323	5.1323	50.00	100.00	66.67	2	2	0
cami_ii_marine	hymet_reads	class	51.1141	51.1141	60.00	75.00	66.67	3	2	1
cami_ii_marine	hymet_reads	order	51.1363	51.1364	80.00	80.00	80.00	4	1	1
cami_ii_marine	hymet_reads	family	53.0581	53.0581	36.36	80.00	50.00	4	7	1
cami_ii_marine	hymet_reads	genus	87.9345	87.9346	24.00	60.00	34.29	6	19	4
cami_ii_marine	hymet_reads	species	97.6115	97.6116	12.12	36.36	18.18	4	29	7
cami_ii_marine	kraken2	superkingdom	45.0093	76.6065	50.00	100.00	66.67	2	2	0
cami_ii_marine	kraken2	phylum	43.1277	75.8326	100.00	100.00	100.00	2	0	0
cami_ii_marine	kraken2	class	43.1284	75.8347	100.00	100.00	100.00	4	0	0
cami_ii_marine	kraken2	order	43.1284	75.8347	100.00	80.00	88.89	4	0	1
cami_ii_marine	kraken2	family	43.1730	75.9068	100.00	80.00	88.89	4	0	1
cami_ii_marine	kraken2	genus	44.7447	78.6635	87.50	70.00	77.78	7	1	3
cami_ii_marine	kraken2	species	46.3445	81.4879	71.43	45.45	55.56	5	2	6
cami_ii_marine	squeezemeta	superkingdom	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_ii_marine	squeezemeta	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	2
