sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_i_mc	metaphlan4	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_i_mc	metaphlan4	class	50.0000	100.0000	0.00	0.00	0.00	0	0	4
cami_i_mc	metaphlan4	order	50.0001	100.0000	0.00	0.00	0.00	0	0	6
cami_i_mc	metaphlan4	family	50.0001	100.0000	0.00	0.00	0.00	0	0	6
cami_i_mc	metaphlan4	genus	50.0000	100.0000	0.00	0.00	0.00	0	0	8
cami_i_mc	metaphlan4	species	49.9999	100.0000	0.00	0.00	0.00	0	0	12
cami_i_mc	sourmash_gather	superkingdom	18.2641	18.2641	100.00	33.33	50.00	1	0	2
cami_i_mc	sourmash_gather	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_i_mc	sourmash_gather	class	50.0001	100.0000	0.00	0.00	0.00	0	0	4
cami_i_mc	sourmash_gather	order	50.0001	100.0000	0.00	0.00	0.00	0	0	6
cami_i_mc	sourmash_gather	family	50.0001	100.0000	0.00	0.00	0.00	0	0	6
cami_i_mc	sourmash_gather	genus	49.9999	100.0000	0.00	0.00	0.00	0	0	8
cami_i_mc	sourmash_gather	species	91.9971	91.9972	100.00	8.33	15.38	1	0	11
cami_ii_marine	centrifuge	superkingdom	100.0000	100.0000	0.00	0.00	0.00	0	1	2
cami_ii_marine	centrifuge	phylum	99.5622	99.5622	50.00	50.00	50.00	1	1	1
cami_ii_marine	centrifuge	class	99.5621	99.5622	50.00	25.00	33.33	1	1	3
cami_ii_marine	centrifuge	order	99.9411	99.9412	0.00	0.00	0.00	0	2	5
cami_ii_marine	centrifuge	family	100.0000	100.0000	0.00	0.00	0.00	0	2	5
cami_ii_marine	centrifuge	genus	99.9999	100.0000	0.00	0.00	0.00	0	2	10
cami_ii_marine	centrifuge	species	99.9999	100.0000	0.00	0.00	0.00	0	2	11
cami_ii_marine	ganon2	superkingdom	49.4513	97.7484	100.00	100.00	100.00	2	0	0
cami_ii_marine	ganon2	phylum	49.5427	97.9292	100.00	100.00	100.00	2	0	0
cami_ii_marine	ganon2	class	49.5427	97.9292	100.00	50.00	66.67	2	0	2
cami_ii_marine	ganon2	order	50.4295	99.6823	50.00	20.00	28.57	1	1	4
cami_ii_marine	ganon2	family	50.5903	100.0000	0.00	0.00	0.00	0	2	5
cami_ii_marine	ganon2	genus	50.5902	100.0000	0.00	0.00	0.00	0	2	10
cami_ii_marine	ganon2	species	50.5902	100.0000	0.00	0.00	0.00	0	2	11
cami_ii_marine	hymet	superkingdom	51.4101	34.2734	14.29	100.00	25.00	2	12	0
cami_ii_marine	hymet	phylum	100.0000	100.0000	0.00	0.00	0.00	0	12	2
cami_ii_marine	hymet	class	100.0000	100.0000	0.00	0.00	0.00	0	12	4
cami_ii_marine	hymet	order	100.0000	100.0000	0.00	0.00	0.00	0	12	5
cami_ii_marine	hymet	family	100.0000	100.0000	0.00	0.00	0.00	0	12	5
cami_ii_marine	hymet	genus	99.9999	100.0000	0.00	0.00	0.00	0	12	10
cami_ii_marine	hymet	species	55.4475	55.4475	41.67	45.45	43.48	5	7	6
cami_ii_marine	kraken2	superkingdom	45.3572	78.0234	50.00	100.00	66.67	2	2	0
cami_ii_marine	kraken2	phylum	43.6283	77.3525	100.00	100.00	100.00	2	0	0
cami_ii_marine	kraken2	class	43.6312	77.3840	100.00	100.00	100.00	4	0	0
cami_ii_marine	kraken2	order	43.6352	77.4022	100.00	80.00	88.89	4	0	1
cami_ii_marine	kraken2	family	43.6834	77.4876	100.00	80.00	88.89	4	0	1
cami_ii_marine	kraken2	genus	45.1613	80.0979	87.50	70.00	77.78	7	1	3
cami_ii_marine	kraken2	species	50.3634	83.9891	41.67	45.45	43.48	5	7	6
cami_ii_marine	metaphlan4	superkingdom	150.0000	100.0000	0.00	0.00	0.00	0	1	2
cami_ii_marine	metaphlan4	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_ii_marine	metaphlan4	class	49.9999	100.0000	0.00	0.00	0.00	0	0	4
cami_ii_marine	metaphlan4	order	49.9999	100.0000	0.00	0.00	0.00	0	0	5
cami_ii_marine	metaphlan4	family	49.9999	100.0000	0.00	0.00	0.00	0	0	5
cami_ii_marine	metaphlan4	genus	49.9999	100.0000	0.00	0.00	0.00	0	0	10
cami_ii_marine	metaphlan4	species	49.9999	100.0000	0.00	0.00	0.00	0	0	11
cami_ii_marine	sourmash_gather	superkingdom	8.0872	8.0872	100.00	50.00	66.67	1	0	1
cami_ii_marine	sourmash_gather	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_ii_marine	sourmash_gather	class	49.9999	100.0000	0.00	0.00	0.00	0	0	4
cami_ii_marine	sourmash_gather	order	49.9999	100.0000	0.00	0.00	0.00	0	0	5
cami_ii_marine	sourmash_gather	family	49.9999	100.0000	0.00	0.00	0.00	0	0	5
cami_ii_marine	sourmash_gather	genus	49.9999	100.0000	0.00	0.00	0.00	0	0	10
cami_ii_marine	sourmash_gather	species	99.9999	100.0000	0.00	0.00	0.00	0	1	11
cami_ii_mousegut	centrifuge	superkingdom	100.0000	100.0000	0.00	0.00	0.00	0	1	2
cami_ii_mousegut	centrifuge	phylum	86.7557	86.7557	75.00	100.00	85.71	3	1	0
cami_ii_mousegut	centrifuge	class	86.7557	86.7557	75.00	50.00	60.00	3	1	3
cami_ii_mousegut	centrifuge	order	88.7748	88.7748	50.00	33.33	40.00	2	2	4
cami_ii_mousegut	centrifuge	family	88.7747	88.7748	50.00	22.22	30.77	2	2	7
cami_ii_mousegut	centrifuge	genus	88.7747	88.7748	50.00	15.38	23.53	2	2	11
cami_ii_mousegut	centrifuge	species	94.5646	94.5647	25.00	7.14	11.11	1	3	13
cami_ii_mousegut	ganon2	superkingdom	42.3133	73.2909	100.00	100.00	100.00	2	0	0
cami_ii_mousegut	ganon2	phylum	42.3133	73.2909	100.00	100.00	100.00	3	0	0
cami_ii_mousegut	ganon2	class	43.2896	74.9820	100.00	50.00	66.67	3	0	3
cami_ii_mousegut	ganon2	order	44.0473	76.2944	66.67	33.33	44.44	2	1	4
cami_ii_mousegut	ganon2	family	44.0472	76.2944	66.67	22.22	33.33	2	1	7
cami_ii_mousegut	ganon2	genus	44.0472	76.2944	66.67	15.38	25.00	2	1	11
cami_ii_mousegut	ganon2	species	52.1116	90.2626	33.33	7.14	11.76	1	2	13
cami_ii_mousegut	hymet	superkingdom	50.8357	33.8904	16.67	100.00	28.57	2	10	0
cami_ii_mousegut	hymet	phylum	100.0000	100.0000	0.00	0.00	0.00	0	10	3
cami_ii_mousegut	hymet	class	100.0000	100.0000	0.00	0.00	0.00	0	10	6
cami_ii_mousegut	hymet	order	100.0000	100.0000	0.00	0.00	0.00	0	10	6
cami_ii_mousegut	hymet	family	100.0000	100.0000	0.00	0.00	0.00	0	10	9
cami_ii_mousegut	hymet	genus	100.0000	100.0000	0.00	0.00	0.00	0	10	13
cami_ii_mousegut	hymet	species	71.8699	71.8699	40.00	28.57	33.33	4	6	10
cami_ii_mousegut	kraken2	superkingdom	48.3836	79.6385	50.00	100.00	66.67	2	2	0
cami_ii_mousegut	kraken2	phylum	43.8155	77.9830	100.00	100.00	100.00	3	0	0
cami_ii_mousegut	kraken2	class	43.8162	77.9872	100.00	100.00	100.00	6	0	0
cami_ii_mousegut	kraken2	order	43.8355	78.0235	100.00	100.00	100.00	6	0	0
cami_ii_mousegut	kraken2	family	45.0145	80.1713	88.89	88.89	88.89	8	1	1
cami_ii_mousegut	kraken2	genus	46.2335	82.2150	76.92	76.92	76.92	10	3	3
cami_ii_mousegut	kraken2	species	50.2612	86.1951	40.91	64.29	50.00	9	13	5
cami_ii_mousegut	metaphlan4	superkingdom	150.0000	100.0000	0.00	0.00	0.00	0	1	2
cami_ii_mousegut	metaphlan4	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_ii_mousegut	metaphlan4	class	50.0000	100.0000	0.00	0.00	0.00	0	0	6
cami_ii_mousegut	metaphlan4	order	50.0000	100.0000	0.00	0.00	0.00	0	0	6
